"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Multicellular complex forming ability"
7839,"A/6353, FH 2244","DSM 43865, ATCC 31048, BCRC 12121, CBS 355.75, IFO 13997, IMSNU 22127, JCM 3250, KCC A-0250, KCTC 9536, NBRC 13997, NCIMB 12636, NRRL B-16723, SANK 62178, CGMCC 4.5521",1,"Actinoplanes liguriensis",0
7808,"UNCC 72","DSM 43150, ATCC 15350, CBS 192.64, IFO 12513, KCC A-0061, NBRC 12513, JCM 3061, IFM 0126, IFM 1240, IMET 9246, IMSNU 22063, KCTC 9348, NCIMB 12888, NRRL B-3346, VKM Ac-676",1,"Actinoplanes lobatus",0
7809,"UNCC 431","DSM 43046, ATCC 14538, CBS 188.64, IFO 13243, KCC A-0121, NBRC 13243, JCM 3121, BCRC 13335, CGMCC 4.1488, IFM 1250, IMET 9249, IMSNU 22051, KCTC 1780, NBIMCC 2232, NBRC 102363, NCIMB 12654, NRRL B-3342, VTT E-82151",1,"Actinoplanes missouriensis",0
,,,,,1
7846,,"DSM 45809, ATCC 43632, INA 4041, JCM 9649, KCTC 9593, NBRC 14524, BCC 49181, IFO 14524, TBRC 173",1,"Actinoplanes octamycinicus",0
,,,,,1
7834,"LA 83","DSM 43940, ATCC 49797, BCC 55025, IFO 14916, NBRC 14916, NCIMB 20021, TBRC 2208, JCM 7626, BCRC 16347, IMSNU 20038, KCTC 9257, NRRL B-16691",1,"Actinoplanes palleronii",0
7811,"LL 7-10 (IMRU 3919), MB-T 24","DSM 43808, ATCC 29234, BCC 60402, IFO 13941, IMRU 3919, KCC A-0194, NBRC 13941, TBRC 2207, JCM 3194, BCRC 13338, IFM 1260, IMET 9276, IMSNU 20041, KCTC 9540, NCIMB 12746, NRRL B-16090",1,"Actinoplanes rectilineatus",0
7812,"UNCC 79","DSM 43151, CBS 193.64, IAM 14279, IFO 12514, IMET 9268, JCM 3062, KCC A-0062, NBRC 12514, RIA 821, BCC 49176, HAMBI 1928, IFM 1241, KCTC 9119, NCIMB 12730, NRRL B-3347, TBRC 168, VKM Ac-650",1,"Actinoplanes regularis",0
158014,M4147,"DSM 100965",1,"Actinoplanes sediminis",1
7842,03-723,"DSM 45183, CCM 7526, KCTC 19460, JCM 16605",1,"Actinoplanes sichuanensis",0
7818,"AB 8327, FH 2149","DSM 43866, ATCC 31121, BCRC 12106, FERM P-3462, IFO 13999, IMET 9254, IMSNU 20043, JCM 3252, KCC A-0252, KCTC 9543, NBRC 13999, NCIMB 12640, NRRL B-16726, SANK 60479, BCC 49180, NBIMCC 2300, TBRC 172",1,"Actinoplanes teichomyceticus",0
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,"Actinoplanes tereljensis",0
11162,,"DSM 45354, ACM 5288, JCM 18294, NRRL B-24810, PIP 143",1,"Actinopolymorpha pittospori",0
11159,,"DSM 18448, CCTCC AA 206004, JCM 16537, YIM 45725",1,"Actinopolymorpha rutila",0
17729,,"DSM 45004, KCTC 19119, YIM 90480",1,"Actinopolyspora alba",0
,,,,,1
17730,,"DSM 45583, CCTCC M 208247, KCTC 19372, YIM 90600, JCM 19144",1,"Actinopolyspora erythraea",1
17721,,"DSM 43834, ATCC 27976, IFO 14106, JCM 3278, KCC A-0278, NBRC 14106, NCIB 11472, BCRC 13403, CGMCC 4.1219, IMSNU 20045, IMSNU 21360, KCTC 9127, MTCC 263, NCIMB 11472, VKM Ac-871",1,"Actinopolyspora halophila",0
140636,K12-0408,"NBRC 111897, TBRC 5327, DSM 108652",1,"Actinorhabdospora filicis",1
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,"Actinospica acidiphila",0
13211,101,"DSM 43827, ATCC 29888, IAM 14280, IFO 14064, IMET 9740, IMRU 3971, JCM 3225, KCC A-0225, NBRC 14064, BCRC 13449, IMSNU 20048, KCTC 9125, KCTC 9184, NCIMB 13271, NRRL B-12336, VKM Ac-843",1,"Actinosynnema mirum",0
,,,,,1
13212,,"DSM 44131, ATCC 31309, FERM P-4130, IFO 13725, JCM 7343, NBRC 13725, RTCI C-14482, IFO 15620, IMSNU 21345, KCTC 9498, NBRC 15620, NCIMB 14387, NRRL B-16078, VKM Ac-1961",1,"Actinosynnema pretiosum subsp. auranticum",0
,,,,,1
13213,,"DSM 44132, ATCC 31281, FERM P-3992, IFO 13726, JCM 7344, NBRC 13726, BCRC 13428, CGMCC 4.1703, IFO 15621, IMSNU 21346, KCTC 9499, NBRC 15621, NRRL B-16060, VKM Ac-1963",1,"Actinosynnema pretiosum subsp. pretiosum",0
,,,,,1
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,"Actinotalea fermentans",0
11058,KSL-107,"DSM 16824, CIP 108938, JCM 13518, KCTC 19073, BCRC 16830",1,"Aeromicrobium alkaliterrae",0
11055,,"DSM 8599, ATCC 51598, NRRL B-3381, JCM 8359, GTC 01565, IFO 15406, KCCM 41104, KCTC 9586, LMG 16472, NBRC 15406, NCIMB 13258",1,"Aeromicrobium erythreum",0
11056,J41,"DSM 10552, ATCC 49363, IFO 14897, NBRC 14897, NCIMB 12713, CCUG 35026, LMG 16205, JCM 8088, IMSNU 22010, KCCM 41090, KCTC 9576, VKM Ac-1324",1,"Nocardioides fastidiosus",0
11064,TYLN1,"DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625",1,"Aeromicrobium flavum",0
11061,,"DSM 17939, CCUG 52476, KCTC 19131, Gsoil 161, JCM 16926, JCM 15303",1,"Aeromicrobium panaciterrae",0
11065,HSW-1,"DSM 19178, KACC 20565, JCM 16375",1,"Aeromicrobium ponti",0
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,"Aggregatilinea lenta",1
7249,DL-4,"DSM 14575, UCM Ac-620, VKM Ac-1804, JCM 12206, IAM 15124, IAM 15138, NBRC 103053",1,"Agreia bicolorata",0
